Fairdesk,fairdesk
WAGMI (Ethereum),wagmi-ethereum
Kine Protocol (Spot),kine-protocol-spot
Bitforex,bitforex
CITEX,citex
YoBit,yobit
Uniswap V3 (Optimism),uniswap_v3_optimism
Trubit,trubit
Coinone,coinone
Icrypex,icrypex
Bit2Me,bit2me
HitBTC,hitbtc
Quickswap (v3),quickswap_v3
DODO (Ethereum),dodo
Camelot V3,camelot-v3
Curve (Ethereum),curve_ethereum
THENA FUSION,thena-fusion
Trader Joe V2.1 (Arbitrum),traderjoe-v2-1-arbitrum
Pancakeswap V3 (Ethereum),pancakeswap-v3-ethereum
Retro,retro
Koinbx,koinbazar
Bitazza,bitazza
Biswap V3,biswap-v3-1
Vertex Protocol (Spot),vertex-protocol-spot
TokoCrypto,toko_crypto
Agni Finance,agni-finance
Tokpie,tokpie
GoPax,gopax
Uniswap V3 (BSC),uniswap-bsc
DODO (BSC),dodo_bsc
Ace,ace
Uniswap V3 (Base),uniswap-v3-base
Bitcointry Exchange,bitcointry_exchange
KuCoin Futures,kumex
BTCBOX,btcbox
DODO (Arbitrum),dodo_arbitrum
Balancer V1,balancer_v1
ALEX,alexgo
Quickswap,quickswap
Catex,catex
Currency.com,currency
BitTrade,huobi_japan
BitBNS,bitbns
SushiSwap V3 (Base),sushiswap-v3-base
DODO (Polygon),dodo_polygon
Balancer V2 (Arbitrum),balancer_arbitrum
Fraxswap (Ethereum),fraxswap_ethereum
KLAYSwap,klayswap
Sushiswap V3 (Arbitrum),sushiswap-v3-arbitrum
Camelot,camelot
Pancakeswap V3 (Base),pancakeswap-v3-base
Foxbit,foxbit
Sushiswap (Arbitrum One),sushiswap_arbitrum
Phux,phux
Stellaswap (V3),stellaswap-v3
Shibaswap,shibaswap
Sushiswap V2 (Base),sushiswap-v2-base
Pancakeswap V3 (Linea),pancakeswap-v3-linea
Equalizer,equalizer
Quickswap (Polygon zkEVM),quickswap-polygon-zkevm
Pancakeswap (Stableswap),pancakeswap_stableswap
Sushiswap (Polygon POS),sushiswap_polygon_pos
SpartaDEX,spartadex
PulseX V2,pulsex-v2
MMFinance (Cronos),mm_finance
ApeSwap,apeswap_bsc
Quickswap V3 (Manta Pacific),quickswap-v3-manta-pacific
Balancer V2 (Avalanche),balancer-v2-avalanche
Sushiswap V3 (Polygon),sushiswap-v3-polygon
Trader Joe v2,traderjoe-v2-avalanche
SpookySwap,spookyswap
Orderly Network,orderly_network
Trisolaris,trisolaris
DeFi Swap,defi_swap
JediSwap,jediswap-starknet-alpha
Coinzoom,coinzoom
Pancakeswap V3 (Polygon zkEVM),pancakeswap-v3-polygon-zkevm
BabySwap,babyswap
SmarDex,smardex-ethereum
Kinetix V3,kinetix-v3
Balancer V2 (Base),balancer-v2-base
Sologenic,sologenic
Netswap,netswap
9inch,9inch
Uniswap V3 (Celo),uniswap_v3_celo
Sushiswap V3 (Optimism),sushiswap-v3-optimism
Claimswap,claimswap
ApeSwap (Polygon),apeswap_polygon
Tomb Swap (Fantom),tomb_swap_fantom
Equalizer (Base),equalizer-base
SpiritSwap,spiritswap
WanSwap,wanswap
Velocore,velocore
KyberSwap Classic (Ethereum),kyberswap_classic_ethereum
OccamX,occamx
HashKey Exchange,hashkey_exchange
SmarDex (BSC),smardex-bsc
Solarbeam,solarbeam
Bakeryswap,bakeryswap
PacificSwap,pacificswap
CherrySwap,cherryswap
Sushiswap (Arbitrum Nova),sushiswap_arbitrum_nova
PearlFi,pearl-exchange
StellaSwap,stellaswap
Curve (Fantom),curve_fantom
WAGMI (zkSync),wagmi-zksync
PearlFi V1.5,pearlfi-v1-5
ShimmerSea,shimmersea
Arbswap,arbswap_arbitrum_one
Sushiswap V3 (Arbitrum Nova),sushiswap-v3-arbitrum-nova
DackieSwap V3,dackieswap
BabyDogeSwap,babydogeswap
Ubeswap,ubeswap
